Esprimo,,
ĉu ni,,
ĉu ne,,
kiel se,,
ĉiuokaze,,
ne nur sed ankaŭ,,
ne sole sed ankaŭ,,
katŝatanto,,
en la praktiko,,
mi ne scias,,
kiel kutime,,
kutime ne,,
jes kaj ne,,
jes aŭ ne,,
ĉu vere,,
starigi demandon,,
parol malrapide,,
paroli laŭte,,
paroli mallaŭte,,
certe ne,,
kaj tiel plu,,
kiel tio,,
antaŭ kristo,,
jaroj antaŭ kristo,,
kaj aliaj,,
kaj ceteraj,,
kaj simile,,
kaj similaj,,
mortinta en,,
propra sence,,
figura sence,,
post kristo,,
se paroli pri,,
paroli pri,,
tio estas,,
tiel nomata,,
resp,,
dro,,
drino,,
eisto,,
rim,,
proks,,
eld,,
bonvolu ne,,
bvne,,
ekskl,,
inkl,,
gesroj,,
mln,,
ekz,,
mld,,
anst,,
nifo,,
pmeg,,
piv,,
prof,,
sro,,
sino,,
s-ro,,
s-ino,,
d-ro,,
d-rino,,
ttt,,
uea,,
tejo,,
zamĉjo,,
mdr,,
sal,,
kiel vi fartas,,
ne gravas,,
ne dankinde,,
ĝis,,
ĝis la revido,,
ĝis la,,
f-ino,,
fino,,
ktp,,
n-ro,,
nro,,
far,,
temas pri mi,,
fare de,,
venu tuj,,
venu ĉi-tien,,
iri hejmen,,
interkonatiĝa,,
postkongresozo,,
horzonozo,,
stampfo,,
senpene,,
sen pen,,
sentime,,
ne estas,,
kiel ĉarma,,
kia homo,,
kado kado,,
jam temp esta,,
ne krokodilu,,
krokodilema,,
ĉapelita litero,,
ĉapelitaj literoj,,
uniĝintaj nacioj,,
kial vi,,
malgraŭ ke,,
malgraŭ tio,,
pro tio,,
tiuj kiuj,,
tio kio,,
tiu kiu,,
tia kia,,
tiel kiel,,
i diris,,
li diris,,
kaj vi,,
temas pri,,
lasu min,,
iri pluen,,
iris pluen,,
iros pluen,,
doni vojon,,
donu vojon,,
stiri aŭton,,
estu bona,,
esti bona,,
bluas ĉielo,,
sisterona,,
meze de tio,,
je la barbo de zamenhof,,
je kia horo,,
kiel oni diras,,
mi ne volas,,
volonte farus,,
kompatu min,,
savu min,,
fek al vi,,
konscia pri,,
mi neniam vidis,,
rigardu min,,
montru al mi,,
mortis sole,,
ununura filo,,
venontfoje,,
pere de,,
katfoto,,
viaj manoj,,
elhaki arbon,,
dehaki arbon,,
ruĝa maro,,
kion vi povus fari,,
unu el,,zamenhofa titol
tro da informo,,
bla bla bla,,